Trial,Success Rate (%),Batch Time (s),Successes,Failures,Total Requests,Error
1,98.00,47.01,490,10,500,
2,98.60,52.62,493,7,500,
3,99.00,51.80,495,5,500,
4,97.60,54.71,488,12,500,
5,95.80,407.33,479,21,500,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),97.80
Success Rate Std Dev (%),1.24
Success Rate Min (%),95.80
Success Rate Max (%),99.00

Batch Time Mean (s),122.69
Batch Time Std Dev (s),159.14
Batch Time Min (s),47.01
Batch Time Max (s),407.33
