Trial,Success Rate (%),Batch Time (s),Successes,Failures,Total Requests,Error
1,98.80,48.35,494,6,500,
2,98.40,48.72,492,8,500,
3,98.80,46.16,494,6,500,
4,96.40,42.51,482,18,500,
5,98.80,48.47,494,6,500,

SUMMARY STATISTICS
Metric,Value
Algorithm,RLAgent
Total Trials,5
Valid Trials,5
Failed Trials,0

Success Rate Mean (%),98.24
Success Rate Std Dev (%),1.04
Success Rate Min (%),96.40
Success Rate Max (%),98.80

Batch Time Mean (s),46.84
Batch Time Std Dev (s),2.63
Batch Time Min (s),42.51
Batch Time Max (s),48.72
